,Name,/people/deceased_person/date_of_death,/people/person/gender,/people/person/age,/people/person/date_of_birth
92436,Rudolf Dworsky,1927-07-06,Male,[],1882-01-01 00:00:00
92437,Rudolf Walther-Fein,1933-05-01,Male,[],1875-11-20 00:00:00
92621,Bérangère de Lagâtinerie,1991,Female,[],1968-01-01 00:00:00
92625,Dewey Barto,1973-01-31,Male,[],1896-06-10 00:00:00
92659,John Arnold,2003-05,Male,[],1921-09-03 00:00:00
92661,José Manuel Ramos,1980-12-30,Male,[],1892-03-17 00:00:00
92769,Stanislaw Wasylewski,1953-07-26,Male,[],1885-12-18 00:00:00
92773,Roger Olkowski,2001-06-18,Male,[],1952-04-12 00:00:00
92877,Márton Garas,1930-06-26,Male,[],1881-05-18 00:00:00
92883,Frederic Ullman Jr.,1948-12-26,Male,[],1903-04-19 00:00:00
92897,Herbert Polesie,1979-06-08,Male,[],1899-07-03 00:00:00
92954,Enrique Rosas,1920-08-09,Male,[],1877-01-01 00:00:00
93123,Juliusz Gardan,1944-12-29,Male,[],1901-11-12 00:00:00
93134,Alta Mae Goddard,1984,Female,[],1887-01-01 00:00:00
93181,Kathe Oswald,1985-08-19,Female,[],1890-12-27 00:00:00
93189,Ruth Oswald,1962-11-07,Female,[],1913-03-13 00:00:00
93242,Madilu System,2007-08-11,Male,[],1952-05-28 00:00:00
93297,Edith Kiel,1993,Female,[],1904-06-30 00:00:00
93298,Jan Vanderheyden,1961-03-27,Male,[],1890-10-10 00:00:00
93348,Larry Ramos,2014-04-30,Male,[],1942-04-19 00:00:00
93502,Jonathan Kidd,1987-12-15,Male,[],1914-02-12 00:00:00
93654,Bradley Lieberman,1987-05-31,Male,[],1968-01-26 00:00:00
93771,Jack De Shields,2004-11-29,Male,[],1923-04-12 00:00:00
93796,Ed Agresti,1971-01-01,Male,[],1900-10-04 00:00:00
93849,Augusto Di Giovanni,1963-04-09,Male,[],1910-02-11 00:00:00
93854,Augusto Carloni,1997,Male,[],1923-01-01 00:00:00
93860,Frank Anderson Sloan,1960,Male,[],1884-01-01 00:00:00
93868,Frances Keenan,1950-02-28,Female,[],1886-03-18 00:00:00
93870,Leah May,1959-01-31,Female,[],1887-11-04 00:00:00
93894,Bruno Corelli,1983-02-17,Male,[],1918-08-20 00:00:00
93899,Yehoshua Luff,1985-08-19,Male,[],1902-01-01 00:00:00
93929,Marina Pagano,1990-01-19,Female,[],1939-02-16 00:00:00
94041,Helen De Paul,2007,Female,[],1921-01-01 00:00:00
94042,Clarence Lancelot Noble,1990,Male,[],1913-03-01 00:00:00
94053,William Earl Knotts,1941,Male,[],1910-01-01 00:00:00
94101,Kirsten Walther,1987-02-19,Female,[],1933-08-31 00:00:00
94179,Eugene Janssen,1996-03-30,Male,[],1918-02-18 00:00:00
94180,Berniece Graf,1995-11-26,Female,[],1910-05-11 00:00:00
94184,Harold Edward Meyer,1990-11-04,Male,[],1906-05-12 00:00:00
94300,Maria Zakharenko,1998-01-06,Female,[],1912-01-01 00:00:00
94312,Carlotta Monterey,1970-11-18,Female,[],1888-12-28 00:00:00
94325,Edmund O'Neill,1885,Male,[],1883-01-01 00:00:00
94326,James O'Neill Jr.,1923,Male,[],1878-01-01 00:00:00
94344,Shane O'Neill,1977,Male,[],1919-10-01 00:00:00
94370,Robert Feero,2011-02-27,Male,[],1945-02-06 00:00:00
94371,John Pearce,2000-04-29,Male,[],1927-11-07 00:00:00
94396,Toraichi Kono,1971,Male,[],1885-03-03 00:00:00
94489,Tom Burke,1969-09-13,Male,[],1890-01-01 00:00:00
94520,Bill Hitchcock,1974-02,Male,[],1929-01-01 00:00:00
94532,Kim Le Mesurier,1981-10-06,Male,[],1956-10-12 00:00:00
94683,Clemens Seeber,1905-07-17,Male,[],1851-12-16 00:00:00
94684,Juliane Laura Seeber,1913,Female,[],1846-01-01 00:00:00
