,Name,/people/deceased_person/date_of_death,/people/person/gender,/people/person/age,/people/person/date_of_birth
32326,Eric Thompson,1978-01-04,Male,[],1901-01-01 00:00:00
32342,Ossie Wenban,1978,Male,[],1891-01-01 00:00:00
32352,"George Askwith, 1st Baron Askwith",1942-06-02,None,[],1861-02-17 00:00:00
32355,"Victor Alexander Wrottesley, 4th Baron Wrottesley",1962-09-01,Male,[],1873-12-18 00:00:00
32356,"Richard John Wrottesley, 5th Baron Wrottesley",1977-10-23,Male,[],1918-07-07 00:00:00
32359,"Joaquín Ibáñez, Baron de Eroles",1825-08-22,None,[],1784-01-01 00:00:00
32362,"John Harington, 1st Baron Harington",1347,None,[],
32375,"Ralph Eure, 3rd Baron Eure",1617-04-01,Male,[],
32379,"Henry Rolle, 1st Baron Rolle",1750-08-17,None,[],1708-11-07 00:00:00
32381,"Francis Sandford, 1st Baron Sandford",1893-12-31,None,[],1824-05-14 00:00:00
32401,"Herbert Jessel, 1st Baron Jessel",1950-11-01,None,[],1866-10-27 00:00:00
32402,"John Olmius, 1st Baron Waltham",1762-10-05,None,[],1711-07-18 00:00:00
32403,"Milo Talbot, 7th Baron Talbot of Malahide",1973,None,[],1912-12-01 00:00:00
32404,"Sir Richard Wrottesley, 7th Baronet",1769-07-20,None,[],1873-09-18 00:00:00
32407,"Sir Francis Barry, 1st Baronet",1907,None,[],1825-01-01 00:00:00
32409,"Sir Richard Martin, 1st Baronet, of Cappagh",1901-10-18,None,[],1831-03-17 00:00:00
32421,"Sir David Dale, 1st Baronet",1906,None,[],1829-12-11 00:00:00
32430,"Ulrich III, Duke of Carinthia",1269-10-27,None,[],
32432,"Ernest August, Duke of Schleswig-Holstein-Sonderburg-Augustenburg",1731-03-12,None,[],
32435,"Christopher, Duke of Mecklenburg",1592-03-04,None,[],
32443,"Anthony Günther, Count of Oldenburg",1667-06,None,[],
32444,"John, Count of Nassau-Dillenburg",1328-08-10,None,[],
32445,"Ernest, Count of Stolberg-Ilsenburg",1710-11-09,None,[],
32447,"Godfrey I, Count of Namur",1139-08-19,None,[],
32454,"John V, Count of Hoya",1466-04-10,None,[],
32456,"Louis Günther II, Count of Schwarzburg-Ebeleben",1681-07-20,None,[],
32458,"Rupert, Count of Nassau-Sonnenberg",1390-09-04,None,[],
32463,"Gaston I, Count of Foix",1315-12-13,None,[],
32470,"Siegfried III, Count of Weimar-Orlamünde",1206,None,[],
32477,"Simon Henry, Count of Lippe",1697-05-02,None,[],
32478,"Philip VI, Count of Waldeck",1579-11-09,None,[],
32480,"Henry IX, Count of Waldeck",1577-10-03,Male,[],
32484,"Henry IV, Count of Waldeck",1348-05-01,Male,[],
32511,Margarita Calahorra,1990-03-24,Female,[],1930-01-01 00:00:00
32555,Emanuel Barton,1954-06-02,Male,[],1889-10-21 00:00:00
32558,Raimondo Van Riel,1962-05-09,Male,[],1881-01-22 00:00:00
32564,Michael Lentz,2001-11-30,Male,[],1926-09-09 00:00:00
32566,Asa Boyd Clark,2005-07-23,Male,[],1915-03-28 00:00:00
32580,Vittorio Veltroni,1956-07-26,Male,[],1918-12-26 00:00:00
32628,Luigi Chiarini,1975-11-12,Male,[],1900-06-20 00:00:00
32645,Jess Herring,1953-03-05,Male,[],1895-10-29 00:00:00
32649,Margaret Hedin,2008-02-14,Female,[],1918-02-07 00:00:00
32668,Varvara Popova,1988-10-31,Female,[],1899-12-17 00:00:00
32675,Ross DiMaggio,1980-08-30,Male,[],1906-03-27 00:00:00
32679,Maurice Ellis,2003-01-25,Male,[],1905-05-11 00:00:00
32682,Ivan Christy,1949-05-09,Male,[],1887-11-23 00:00:00
32715,Len Hammond,1998-06-13,None,[],1907-03-31 00:00:00
32725,M.A. Anderson,1958-03-08,Male,[],1893-09-15 00:00:00
32726,Leonard Trainor,1940-07-28,Male,[],1879-02-24 00:00:00
32729,Dieter Ohlendiek,2000,Male,[],1943-11-03 00:00:00
32736,Jan Grippo,1988-03-12,Male,[],1906-12-15 00:00:00
32740,George R. Batcheller Jr.,1977-06-19,Male,[],1911-01-09 00:00:00
32743,Evgeniy Merkurev,2007-03-27,Male,[],1936-01-02 00:00:00
32748,Herman Nowlin,1951-09-02,Male,[],1892-01-16 00:00:00
32752,E. Baucin,1965-06-24,Male,[],1892-02-13 00:00:00
32754,Ethan Allen,1940-08-25,Male,[],1882-05-27 00:00:00
32758,Martha Webster,2013-07-21,Female,[],1931-07-04 00:00:00
32762,George R. Batcheller,1938-09-28,Male,[],1892-01-01 00:00:00
32769,Alma Dickson,1938-11-28,Female,[],1900-01-01 00:00:00
32773,Hugh Cummings,1953-04-11,Male,[],1891-10-19 00:00:00
32776,Ben Doré,1964-03-06,None,[],1890-11-28 00:00:00
32778,Robert Kurrle,1932-10-27,Male,[],1890-02-02 00:00:00
32781,Ted Osborne,1987-02-12,Male,[],1905-04-21 00:00:00
32795,Kaoru Sugawara,2001-10-24,Male,[],1970-02-25 00:00:00
32796,Leslie George Chandler,1918-03-08,Male,[],1895-09-28 00:00:00
32802,Gordon Zahler,1975-12-22,Male,[],1926-02-10 00:00:00
32825,Lev Shvarts,1962-02-24,Male,[],1898-11-17 00:00:00
32833,Sviatoslav Prokofiev,2010,Male,[],1924-01-01 00:00:00
32839,Carolina Codina,1989,Female,[],1897-01-01 00:00:00
32840,Mira Mendelson,1968-06,Female,[],1915-01-01 00:00:00
32842,Anson Bond,1979-05-19,Male,[],1914-03-21 00:00:00
32843,Charles Purcell,1962-03-20,Male,[],1885-02-12 00:00:00
32858,Jack Heller,1988-07-15,Male,[],1906-05-01 00:00:00
32882,Al Martin,1971-10-10,Male,[],1897-01-01 00:00:00
32883,Ede Tóth,1876-02-26,Male,[],1844-10-14 00:00:00
32884,Cheyenne Bill,1979-08,Male,[],1900-08-22 00:00:00
32885,Ed La Niece,1949-09-25,Male,[],1876-06-04 00:00:00
32888,Frances Kavanaugh,2009-01-23,Female,[],1915-02-05 00:00:00
32900,Henry King,1974-08-08,Male,[],1905-02-08 00:00:00
32903,Eric Burroughs,1992-11-12,Male,[],1911-11-06 00:00:00
32907,Heinz Willeg,1991-02-13,Male,[],1918-09-16 00:00:00
32921,Harry Schenck,1953-03-26,Male,[],1885-07-24 00:00:00
32927,Morris R. Schlank,1932-06-29,Male,[],1879-01-01 00:00:00
32950,Clifford Pember,1955,Male,[],1881-12-01 00:00:00
32962,Rakhil Savelyevna Fridlyand,1969,Female,[],1880-01-01 00:00:00
32963,Nina Visaroff,1938-12-14,Female,[],1888-01-01 00:00:00
32964,Shin'ichi Ichikawa,2011-12-10,Male,[],1941-04-17 00:00:00
32967,Imre Roboz,1945-01,Male,[],1892-02-15 00:00:00
32976,Roy Granville,1986-09,Male,[],1886-05-08 00:00:00
32977,Mihály Nádor,1944,Male,[],1882-04-16 00:00:00
32980,Jerry Lee Lewis Jr.,1973,Male,[],1953-01-01 00:00:00
32993,Nándor Korcsmáros,1959-12-06,Male,[],1883-04-12 00:00:00
33008,Virginia Martin,1971-03-08,Female,[],1919-06-17 00:00:00
33011,Izabella Wilczynska-Szalawska,2012-11-20,Female,[],1920-09-04 00:00:00
33017,William Bridgehouse,1948-11-17,None,[],1901-05-07 00:00:00
33022,Gerö Mály,1952-07,Male,[],1884-08-01 00:00:00
33029,Lucie Lichtig,1999-08-19,Female,[],1912-04-26 00:00:00
33036,Robert O. Crandall,1981-09-06,Male,[],1898-01-28 00:00:00
33041,Adél Marosi,1956-08-10,Female,[],1878-04-08 00:00:00
33051,Peter Farr,2009,Male,[],1917-01-01 00:00:00
33058,Wellyn Totman,1977-10-06,Male,[],1903-08-03 00:00:00
33062,Lajos Gellért,1963-01-28,Male,[],1885-11-05 00:00:00
33079,Franklyn Warner,1955-09-06,None,[],1895-03-08 00:00:00
33096,Dorothy Gould,1940,Female,[],1890-01-01 00:00:00
33097,Varvara Ryzhova,1963-05-18,Female,[],1871-01-27 00:00:00
33105,Jim Demarest,2007-06-12,Male,[],1926-06-30 00:00:00
33106,Dean Turner,2006-12-28,Male,[],1922-09-07 00:00:00
33113,Peggy Diggins,1957-08-12,Female,[],1921-10-12 00:00:00
33147,Dix Davis,1989-07-12,Male,[],1926-09-12 00:00:00
33150,Chester Daniel Massey,1926,Male,[],1850-01-01 00:00:00
33169,Paco Martínez,1956-02-20,Male,[],1871-03-17 00:00:00
33173,Guy Sorel,1994-04-05,Male,[],1914-08-12 00:00:00
33183,Mikhail Rostovtsev,1948-04,Male,[],1872-10-22 00:00:00
33208,Luba Pellarová,2005-02-02,Female,[],1922-08-10 00:00:00
33211,Jean-Claude de Givenchy,2009,Male,[],1925-01-01 00:00:00
33214,Béatrice Badin,1976,Female,[],1888-01-01 00:00:00
33218,Ferdinand Bonn,1933-09-24,Male,[],1861-12-20 00:00:00
33225,Vladimir Kamsky,1976-05-02,Male,[],1905-01-20 00:00:00
33226,Duncan McIntyre,1973-12-01,Male,[],1907-01-01 00:00:00
33230,Jim Pappas,1995-11-23,Male,[],1935-09-23 00:00:00
33233,John Coyle,1964-07-15,Male,[],1894-01-01 00:00:00
33234,Hermann Leffler,1929-11-21,Male,[],1864-10-03 00:00:00
33238,Adolf Lantz,1949-08-19,Male,[],1882-11-30 00:00:00
33242,Endre Kertész,1925-01-28,Male,[],1889-03-02 00:00:00
33243,Alajos Mészáros,1920-10-17,Male,[],1877-07-14 00:00:00
33245,Elemér Hetényi,1943,Male,[],1866-01-01 00:00:00
33250,Aleksandr Rzheshevsky,1967-01-19,None,[],1903-09-12 00:00:00
33251,Yefim Moiseyevich Fridlyand,1945,Male,[],1860-01-01 00:00:00
33261,Yasuko Arishima,1916,Female,[],1888-01-01 00:00:00
33280,Yoko Sano,2010-11-05,Female,[],1938-06-28 00:00:00
33282,Hiroatsu Takata,1987-06-17,Male,[],1900-08-19 00:00:00
33285,Akiko Kishida,1942,Female,[],1901-01-01 00:00:00
33291,Georgi Filatov,1940-12-11,Male,[],1909-10-10 00:00:00
33304,Kenneth Pinyan,2005-07-02,Male,[],1960-06-22 00:00:00
33359,Mario Labroca,1973-06-29,Male,[],1895-11-22 00:00:00
33393,Igor Lukovsky,1979-11-26,Male,[],1909-05-09 00:00:00
33405,Luba Lisa,1972-12-15,Female,[],1941-01-01 00:00:00
33413,Erkan Aydoğan Oflu,2011-03-06,Male,[],1972-05-20 00:00:00
33426,Josephine Premice,2001-04-13,Female,[],1926-07-21 00:00:00
33428,Jerome T. Gollard,2007-10-08,Male,[],1914-06-14 00:00:00
33443,Tom Howard,1985-08-30,Male,[],1910-03-27 00:00:00
33487,Eddie Parks,1985-07-24,Male,[],1892-08-01 00:00:00
33494,Samuel Rheiner,1980-12-22,Male,[],1899-09-08 00:00:00
33495,Richard B. Morros,1967-04-27,Male,[],1924-10-11 00:00:00
33501,Özcan Özgür,1995-12,Male,[],1936-10-30 00:00:00
33528,Peter Dmitrievich Pavlov,1899,Male,[],1823-01-01 00:00:00
33530,Natalya Uzhviy,1986-07-30,Female,[],1898-09-08 00:00:00
33536,T.T. Triplett,1989-09-24,Male,[],1894-06-15 00:00:00
33541,Jessica Ridgeway,2012-10,None,[],2002-01-23 00:00:00
33555,Noel Franks,1989-01-21,Female,[],1905-12-31 00:00:00
33566,Signe Rydberg-Eklöf,1972-06-27,Female,[],1881-03-10 00:00:00
33567,Elsa Widborg,1956-04-04,Female,[],1896-04-29 00:00:00
33568,Ragnar Falck,1966-03-26,Male,[],1905-07-23 00:00:00
33698,Walter Thompson,1940,Male,[],1889-01-01 00:00:00
33703,Henri Liebman,1943-08,Male,[],1927-10-15 00:00:00
33815,Maurice Kosloff,1986-01-22,Male,[],1904-07-12 00:00:00
33833,Nathan Hirsh,1956-03-19,None,[],1872-01-01 00:00:00
33856,General-Adjutant Admiral Konstantin Dimitrievich Nilov,1919,Male,[],1856-01-01 00:00:00
33888,Lydia Gavrilovna,1934-05-16,Female,[],1861-01-01 00:00:00
33909,Joan Gale,1998-06-11,Female,[],1912-09-13 00:00:00
33937,Ted Wells,1948-06-07,Male,[],1899-07-11 00:00:00
33986,Neil Robinson,1997-04-26,Male,[],1935-09-23 00:00:00
34086,Jean Campbell,2003-01-11,Female,[],1926-01-26 00:00:00
34176,Stephen Schenkel,2010-01-14,Male,[],1935-01-01 00:00:00
34177,Vladimir Sidorov,1993-08-28,Male,[],1939-05-25 00:00:00
34210,Andor Szakács,1924-03-21,Male,[],1865-01-01 00:00:00
34212,Lili Berky,1958-02-05,Female,[],1886-03-15 00:00:00
34217,Earl Crain Sr.,1976-06-09,Male,[],1896-02-21 00:00:00
34226,Herbert Cameron,1967-03-13,Male,[],1880-03-16 00:00:00
34233,Conchita Gentil Arcos,1982-12-23,Female,[],1897-01-01 00:00:00
34239,Virginia Manzano,1985-02-18,Female,[],1912-11-24 00:00:00
34242,Michael Prince,2000-02-19,Male,[],1922-09-30 00:00:00
34247,Luis Aldás,1990-05-16,Male,[],1910-03-10 00:00:00
34249,Lucien Taffin de Givenchy,1930,Male,[],1888-01-01 00:00:00
34256,Frank Austin,1954-05-13,Male,[],1877-10-09 00:00:00
34273,Yatsek Todorov,2011-07-08,Male,[],1941-05-24 00:00:00
34291,Neville Mapp,1953,Male,[],1909-04-01 00:00:00
34304,Yelizaveta Kuzyurina,2009-01-12,Female,[],1915-02-22 00:00:00
34306,David Vinitsky,2000-02-18,Male,[],1919-05-23 00:00:00
34320,Aleksandr Larikov,1960-05-13,Male,[],1890-09-10 00:00:00
34329,Stanislaw Brylinski,1953-10-10,Male,[],1890-05-01 00:00:00
34336,Ferdynand Feldman,1919-06-03,Male,[],1862-01-01 00:00:00
34348,Ginette Dior,2008,Female,[],1917-01-01 00:00:00
34352,Vladimir Dorofeyev,1974-07-02,Male,[],1895-07-05 00:00:00
34372,Carlos Villatoro,1963-03-14,Male,[],1907-04-12 00:00:00
34374,Chela Campos,1982-06-18,Female,[],1922-01-01 00:00:00
34399,Vernon Keith White,1967-01-15,Male,[],1902-12-22 00:00:00
34401,Mark Josem,1986-08-08,Male,[],1915-01-01 00:00:00
34403,Stefan Adamek,1984-05-01,Male,[],1922-01-01 00:00:00
34410,Roland Hogue,1958-10-07,Male,[],1882-01-01 00:00:00
34416,Mikhail Bolduman,1983-12-28,Male,[],1898-07-12 00:00:00
34427,Tom Nesbitt,1927-03-31,Male,[],1891-01-01 00:00:00
34429,J.D. Kendis,1957-08-02,Male,[],1886-08-15 00:00:00
34461,Olga Pyzhova,1972-11-08,Female,[],1894-10-29 00:00:00
34471,Grenville Geoffrey Brightman,1992,Male,[],1934-01-01 00:00:00
34473,Bruce Warren,1949-10-19,Male,[],1904-09-21 00:00:00
34477,Ernesto Cortazar,1953-11-30,Male,[],1897-12-10 00:00:00
34489,John Spencer,1960-01-12,Male,[],1960-01-12 00:00:00
34504,Herbert B. Leonard,2006-10-14,Male,[],1922-10-08 00:00:00
34505,Oleg Frelikh,1953-09-06,Male,[],1887-03-24 00:00:00
34508,Aleksandr Khokhlov,1966-10-28,Male,[],1892-03-04 00:00:00
34515,Ilya Sudakov,1969-09-01,Male,[],1890-08-01 00:00:00
34537,Andrzej Jurczak,2005-12-20,Male,[],1941-01-29 00:00:00
34538,Roger Gaillard,1970-02-22,Male,[],1893-04-17 00:00:00
34546,Tom Criddle,2008-03-06,Male,[],1928-03-09 00:00:00
34553,Anatoli Solovyov,2000-01-06,Male,[],1922-03-14 00:00:00
34569,Yvonne Lawley,1999-05-21,Female,[],1914-01-01 00:00:00
34571,Tetsunosuke Tsukigata,2009-09-26,Male,[],1926-02-15 00:00:00
34577,Patricia Douglas,2003-11-11,Female,[],1917-03-24 00:00:00
34585,A. Pam Blumenthal,1953-01-26,None,[],1904-09-23 00:00:00
34588,Lidiya Kyaksht,1976-02-20,Female,[],1905-03-23 00:00:00
34595,Mikhail Ziv,1994-05-30,Male,[],1921-05-25 00:00:00
34598,Silver Tip Baker,1943-03-15,Male,[],1886-04-18 00:00:00
34610,Jan Walter Habarta,1998-04-23,Male,[],1927-01-01 00:00:00
34627,Reiko Hoshi,2003-10-24,Female,[],1915-01-02 00:00:00
34632,Vladimir Kenigson,1986-11-17,Male,[],1907-11-07 00:00:00
34633,Vladimir Rautbart,1969-07-26,Male,[],1929-04-03 00:00:00
34639,Viktor Khokhryakov,1986-09-20,Male,[],1923-07-26 00:00:00
34640,Sergei Tsenin,1964-06-13,Male,[],1884-09-30 00:00:00
34643,C.V. Bussey,1971-01-14,Male,[],1889-07-07 00:00:00
34650,William Robyns,1936-01-22,Male,[],1856-05-01 00:00:00
34661,Jack Montgomery,1962-01-21,Male,[],1891-11-14 00:00:00
34662,Ray Dooley,1984-01-28,Female,[],1888-10-30 00:00:00
34663,Karel Hofman,1998,Female,[],1906-01-01 00:00:00
34675,Vlasta Purple,1998-01-13,Female,[],1928-01-20 00:00:00
34685,Janine Marsay,1952-06-24,Female,[],1921-04-03 00:00:00
34687,Yasuhiko Ohashi,1996,Male,[],1910-01-01 00:00:00
34692,Hugues Laurent,1991,Male,[],1885-06-24 00:00:00
34695,Giorgio De Lullo,1981-07-10,Male,[],1921-04-24 00:00:00
34699,Vsevolod Aksyonov,1960-03-29,Male,[],1898-03-19 00:00:00
34706,Viktor Bajkov,1993-07-02,Male,[],1922-11-10 00:00:00
34713,Boris Bibikov,1986-11-05,Male,[],1900-07-22 00:00:00
34750,Antonio Paso Díaz,1966-12-03,Male,[],1895-09-08 00:00:00
34776,Oliver Eckhardt,1952-09-15,Male,[],1873-09-14 00:00:00
34796,Julius Stallich,1940,Male,[],1870-01-01 00:00:00
34798,Apollon Yachnitsky,1980-11-08,Male,[],1906-05-09 00:00:00
34800,Aleksandr Khanov,1983-08-30,Male,[],1904-05-12 00:00:00
34808,Adolph Faylauer,1961-01-11,Male,[],1882-11-16 00:00:00
34810,Shorty English,1952-11-03,Male,[],1870-10-10 00:00:00
34811,Frank McClure,1960-01-23,Male,[],1893-07-14 00:00:00
34815,Joe Novak,1958-08-20,Male,[],1892-07-31 00:00:00
34823,Aleksandr Zhukovskiy,1999-11-17,Male,[],1933-11-19 00:00:00
34833,Paco Valladares,2012-03-17,Male,[],1935-08-20 00:00:00
34889,Nikolai Kuzmin,1999-03-14,Male,[],1917-02-25 00:00:00
34892,Vladimir Muravyov,1973-08-28,Male,[],1914-01-23 00:00:00
34898,Sergei Ivanov,1966,Male,[],1905-02-24 00:00:00
34899,Nikolai P. Cherkasov,1944,Male,[],1884-01-01 00:00:00
34904,Boris Dmokhovsky,1967,Male,[],1899-01-29 00:00:00
34926,Ito Manyo,1970-11-26,Male,[],1921-09-16 00:00:00
34950,John Kove,1984-10,Male,[],1921-08-29 00:00:00
34959,Tommy Fields,1988-06-03,Male,[],1908-06-28 00:00:00
34960,Patricia Kennedy,2010-09-22,Female,[],1929-01-01 00:00:00
34971,Fred Wright Jr.,1928,Male,[],1865-01-01 00:00:00
34975,"Frederick Wright, Sr.",1911,Male,[],1828-01-01 00:00:00
34987,Douglas Wakefield,1951-04-14,Male,[],1899-08-28 00:00:00
34994,Robert Kelly,2007,None,[],1916-01-01 00:00:00
34999,True T. Thompson,1973-02-16,Male,[],1896-02-19 00:00:00
35008,Richard Bird,1965,Male,[],1881-01-01 00:00:00
35009,Giulio Macchi,2009-03-28,Male,[],1918-10-01 00:00:00
35018,Joan Frost,1995,Female,[],1952-01-01 00:00:00
35046,Michel Dreyfus-Schmidt,2008-09-07,Male,[],1932-06-17 00:00:00
35058,MaLinda Prince Sapp,2010-09-09,Female,[],1967-03-01 00:00:00
35089,Larry Stevens,2000-04-05,Male,[],1926-01-01 00:00:00
35148,Viktor Aden,1942,None,[],1880-01-01 00:00:00
35167,Ralph M. DeLacy,1978-06-20,Male,[],1886-07-11 00:00:00
35203,Tamara Lobova,2007-11-15,Female,[],1911-11-07 00:00:00
35206,Pavel Gaideburov,1960-03-04,Male,[],1877-02-27 00:00:00
35214,Vladimir Ferapontov,2008-04-22,Male,[],1933-01-07 00:00:00
35226,Igor Vuskovich,1992-08-30,Male,[],1904-02-24 00:00:00
35228,Irina Mazing,1994,Female,[],1910-04-27 00:00:00
35231,Vladimir Sukhobokov,1973-06-12,Male,[],1910-07-23 00:00:00
35234,Lucio Amelio,1994-07-02,Male,[],1931-09-13 00:00:00
35235,Klimenti Mints,1995-12-22,None,[],1908-01-21 00:00:00
35239,Philippe Rouleau,2009-11-16,Male,[],1940-09-08 00:00:00
35240,Miranda Jones,1973-02-12,Female,[],1934-04-14 00:00:00
35260,Leon Jeannot,1997-06-21,Male,[],1908-05-09 00:00:00
35262,Teodor Bunimovich,2001-03-29,Male,[],1908-07-22 00:00:00
35274,David Ffolkes,1966,Male,[],1912-10-12 00:00:00
35331,Jerry Hoffman,1984-06-10,None,[],1903-12-02 00:00:00
35336,Maria Sukhodolska - Dikova,1974,Female,[],1879-11-13 00:00:00
35346,Helena Margaret White,1978,Female,[],1929-01-01 00:00:00
35411,Kingorō Yanagiya,1972-10-22,Male,[],1901-03-13 00:00:00
35439,Basilides Brown,1967-02-12,Male,[],1903-03-02 00:00:00
35446,Simonetta Bardi,2007,Female,[],1928-01-01 00:00:00
35474,James Legg,2000-11-20,None,[],1962-02-20 00:00:00
35497,Richard Bowden,1982-12-16,None,[],1942-09-23 00:00:00
35520,Semyon Malkin,1986-06-18,None,[],1915-02-15 00:00:00
35524,Anatoli Nazarov,1987,Male,[],1906-11-21 00:00:00
35553,Vladimir Chestnokov,1968-05-15,Male,[],1904-04-12 00:00:00
35556,Olga Lebzak,1983-06-23,Female,[],1914-10-23 00:00:00
35557,Konstantin Skorobogatov,1969-07-28,Male,[],1887-03-06 00:00:00
35567,Thyde Monnier,1967-01-18,None,[],1887-06-23 00:00:00
35572,René Druon,1961,Male,[],1874-01-01 00:00:00
35597,Leonilla Samuel,1991,Female,[],1893-01-01 00:00:00
35599,Folkert Haanstra,1966-11-22,Male,[],1884-04-07 00:00:00
35600,Lazare Kessel,1920-08-27,Male,[],1899-01-01 00:00:00
35640,Nagayoshi Akasaka,1994-06-26,None,[],1921-01-03 00:00:00
35641,Vlastimil Hála,1985-07-29,Male,[],1924-07-07 00:00:00
35647,Alfredo Sainati,1936,Male,[],1868-01-01 00:00:00
35668,Hugh Boswell,1964-01-14,Male,[],1888-10-30 00:00:00
35676,Jiří Růžička,1999-02-20,Male,[],1956-01-08 00:00:00
35680,Dragan Lakovic,1990-05-31,Male,[],1929-03-28 00:00:00
35686,George See,1945,Male,[],1906-01-01 00:00:00
35687,Margaret see,2004-01-04,Female,[],1906-01-01 00:00:00
35688,Maude Truax,1939-09-06,Female,[],1884-11-07 00:00:00
35718,Gaétan Labrèche,1990-11-25,Male,[],1931-01-15 00:00:00
35725,Boris Poslavsky,1951-07-18,Male,[],1897-01-01 00:00:00
35727,Tom Costello,1954-11-14,Male,[],1892-08-14 00:00:00
35745,Galina Vodyanitskaya,2007-06-13,Female,[],1918-08-26 00:00:00
35757,Julian Rose,1935-09-13,Male,[],1868-09-06 00:00:00
35780,Yasushi Yokoyama,1996-01-21,Male,[],1944-03-18 00:00:00
35781,Konstantin Urbetis,1992,Male,[],1905-07-08 00:00:00
35807,Josefa Pechlatová,1974-09-29,Female,[],1890-05-05 00:00:00
35809,Libuse Freslová,1982-08-20,Female,[],1898-06-27 00:00:00
35813,Tomoko Fumino,1987-07-19,Female,[],1923-01-05 00:00:00
35814,Richard Dolman,1978-02-03,Male,[],1895-11-30 00:00:00
35820,Hugh Perceval,1987-07,Male,[],1908-02-18 00:00:00
35823,George Beatty,1971-08-06,Male,[],1895-09-05 00:00:00
35839,Dragoljub Lazarevic,2003-11-06,Male,[],1923-02-19 00:00:00
35840,Pepita Meliá,1990-11,Female,[],1893-01-01 00:00:00
35846,Marcello Melis,1994-10-05,Male,[],1939-08-16 00:00:00
35853,Dejan Dubajic,1969-01-16,Male,[],1897-07-10 00:00:00
35855,Dragutin Todic,1958-04-29,Male,[],1908-01-30 00:00:00
35856,Vaso Kosic,1957-12-26,Male,[],1899-04-02 00:00:00
35870,Safet Pasalic,1987-08-15,Male,[],1907-08-14 00:00:00
35871,Vera Gregovic,2006-07-27,Female,[],1926-07-24 00:00:00
35872,Jovan Milicevic,1992-03-11,Male,[],1923-04-09 00:00:00
35873,Mihajlo Mrvaljevic,2006-11-12,Male,[],1928-01-01 00:00:00
35894,Irina Donskaya,1983,Female,[],1918-05-09 00:00:00
35896,Paola Ojetti,1978-08-31,Female,[],1911-11-07 00:00:00
35906,Edward Goodman,1962-10-02,Male,[],1888-04-27 00:00:00
35944,Dallas Alinder,1990-07-14,Male,[],1932-05-05 00:00:00
35963,Aleksandr Lapauri,1975-08-05,Male,[],1926-06-15 00:00:00
35974,Justin Carmack,2000-07-20,Male,[],1981-03-12 00:00:00
35976,Guidalberto Pasolini,1945-02-12,Male,[],1925-10-04 00:00:00
35988,Tatsuo Endô,2012-07-07,Male,[],1928-01-30 00:00:00
35990,Yûsuke Natsu,2010-01-27,Male,[],1950-10-30 00:00:00
35997,Lyudmila Glazova,1981-05-16,Female,[],1907-08-29 00:00:00
35998,Lyubov Malinovskaya,2009-05-18,Female,[],1921-07-31 00:00:00
35999,Ervin Abel,1984-03-16,Male,[],1929-11-08 00:00:00
36003,Carlo Alberto Pasolini,1958-12-19,Male,[],1892-06-26 00:00:00
36019,Masao Naraoka,2004-05-05,Male,[],1903-06-15 00:00:00
36033,Kumahiko Nishina,1987-04-10,Male,[],1896-01-01 00:00:00
36068,Damir Mejovsek,2006-06-23,Male,[],1933-05-07 00:00:00
36075,Gordan Lederer,1991-08-10,Male,[],1958-04-21 00:00:00
36086,Henry Moore,1848,None,[],1776-01-01 00:00:00
36091,Allain Dhurtal,1968-01-21,Male,[],1886-11-04 00:00:00
36205,J. Raymond Henderson,1998-12-02,Male,[],1929-12-30 00:00:00
36206,Robert Party,2011-11-20,Male,[],1924-04-17 00:00:00
36233,Jürgen Wohlrabe,1995-10-19,Male,[],1936-08-12 00:00:00
36246,Gilberte Goscinny,1994-02-03,Female,[],1943-01-01 00:00:00
36247,Alois Melichar,1976-04-09,Male,[],1896-04-18 00:00:00
36276,Hirotsugu Shinozaki,1966-08-21,Male,[],1902-01-22 00:00:00
36277,Gilberto Amado,1969,Male,[],1887-01-01 00:00:00
36304,Lina Woiwode,1971-09-17,Female,[],1886-01-01 00:00:00
36384,Florence Mary Winifred Kettleband,1990,Female,[],1893-01-01 00:00:00
36393,Ayumi Tsuchiya,1990-05-16,Female,[],1964-01-01 00:00:00
36416,Rina Gigli,2000-08-22,Female,[],1916-01-31 00:00:00
36458,Charles Vassar,1971-08-03,None,[],1920-07-08 00:00:00
36476,Guido Giambartolomei,2013-05-17,Male,[],1921-07-17 00:00:00
36478,Irene Naef,1999-02-27,Female,[],1922-12-06 00:00:00
36479,Lu Säuberlich,1976-08-05,Female,[],1911-11-09 00:00:00
36487,Rosetta Calavetta,1993-10-08,Female,[],1918-03-23 00:00:00
36488,Erich Kestin,1969-05-22,Male,[],1895-06-25 00:00:00
36489,Carla Rust,1977-12-27,Female,[],1908-09-15 00:00:00
36490,Nicola Maldacea,1945-03-05,Male,[],1870-10-29 00:00:00
36491,Romolo Costa,1965-01-01,Male,[],1897-02-26 00:00:00
36492,Richard Romanowsky,1968-07-22,Male,[],1883-04-21 00:00:00
36529,Walter Forster,1968-12-14,Male,[],1900-01-22 00:00:00
36576,Derek V. Browne,2010-12-16,Male,[],1927-10-01 00:00:00
36593,Giuseppe Sordi,1990,Male,[],1915-01-01 00:00:00
36595,Hide Demon,1990-06-17,Male,[],1942-12-15 00:00:00
36607,Pietro Sordi,1941,Male,[],1897-01-01 00:00:00
36621,Martin Walker,1955-09-18,Male,[],1901-07-27 00:00:00
